variable_group,cmip6_table,name,long_name,std_name,units,cmip6plus_key,cmip6_key,in_cmip_core
esm-diagnostic,Amon,rldscs,Surface Downwelling Clear-Sky Longwave Radiation,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,W m-2,Amon/rldscs,APmon/rldscs,TRUE
esm-diagnostic,Amon,rlut,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,W m-2,Amon/rlut,APmon/rlut,TRUE
esm-diagnostic,Amon,rlutcs,TOA Outgoing Clear-Sky Longwave Radiation,toa_outgoing_longwave_flux_assuming_clear_sky,W m-2,Amon/rlutcs,APmon/rlutcs,TRUE
esm-diagnostic,Amon,rsdscs,Surface Downwelling Clear-Sky Shortwave Radiation,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,Amon/rsdscs,APmon/rsdscs,TRUE
esm-diagnostic,Amon,rsdt,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,W m-2,Amon/rsdt,APmon/rsdt,TRUE
esm-diagnostic,Amon,rsuscs,Surface Upwelling Clear-Sky Shortwave Radiation,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,Amon/rsuscs,APmon/rsuscs,TRUE
esm-diagnostic,Amon,rsut,TOA Outgoing Shortwave Radiation,toa_outgoing_shortwave_flux,W m-2,Amon/rsut,APmon/rsut,TRUE
esm-diagnostic,Amon,rsutcs,TOA Outgoing Clear-Sky Shortwave Radiation,toa_outgoing_shortwave_flux_assuming_clear_sky,W m-2,Amon/rsutcs,APmon/rsutcs,TRUE
esm-diagnostic,Amon,ta,Air Temperature,air_temperature,K,Amon/ta,APmon/ta,TRUE
esm-diagnostic,Amon,tasmax,Daily Maximum Near-Surface Air Temperature,air_temperature,K,Amon/tasmax,APmon/tasmax,TRUE
esm-diagnostic,Amon,tasmin,Daily Minimum Near-Surface Air Temperature,air_temperature,K,Amon/tasmin,APmon/tasmin,TRUE
esm-diagnostic,Amon,tauu,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,Pa,Amon/tauu,APmon/tauu,TRUE
esm-diagnostic,Amon,tauv,Surface Downward Northward Wind Stress,surface_downward_northward_stress,Pa,Amon/tauv,APmon/tauv,TRUE
esm-diagnostic,Amon,ua,Eastward Wind,eastward_wind,m s-1,Amon/ua,APmon/ua19,TRUE
esm-diagnostic,Amon,uas,Eastward Near-Surface Wind,eastward_wind,m s-1,Amon/uas,APmon/uas,TRUE
esm-diagnostic,Amon,va,Northward Wind,northward_wind,m s-1,Amon/va,APmon/va19,TRUE
esm-diagnostic,Amon,vas,Northward Near-Surface Wind,northward_wind,m s-1,Amon/vas,APmon/vas,TRUE
esm-diagnostic,Amon,wap,Omega (=dp/dt),lagrangian_tendency_of_air_pressure,Pa s-1,Amon/wap,APmon/wap,TRUE
esm-diagnostic,Amon,zg,Geopotential Height,geopotential_height,m,Amon/zg,APmon/zg,TRUE
forcing,day,hurs,Near-Surface Relative Humidity,relative_humidity,%,APday/hurs,day/hurs,TRUE
forcing,day,huss,Near-Surface Specific Humidity,specific_humidity,1,APday/huss,day/huss,TRUE
forcing,day,pr,Precipitation,precipitation_flux,kg m-2 s-1,APday/pr,day/pr,TRUE
forcing,day,prc,Convective Precipitation,convective_precipitation_flux,kg m-2 s-1,APday/prc,day/prc,TRUE
forcing,Eday,prra,Rainfall Flux over Land,rainfall_flux,kg m-2 s-1,APday/prra,Eday/prra,FALSE
forcing,day,prsn,Snowfall Flux,snowfall_flux,kg m-2 s-1,APday/prsn,day/prsn,TRUE
forcing,CFday,ps,Surface Air Pressure,surface_air_pressure,Pa,APday/ps,CFday/ps,FALSE
forcing,day,rlds,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,W m-2,APday/rlds,day/rlds,TRUE
forcing,day,rlus,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,W m-2,APday/rlus,day/rlus,TRUE
forcing,day,rsds,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,W m-2,APday/rsds,day/rsds,TRUE
forcing,day,rsus,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,W m-2,APday/rsus,day/rsus,TRUE
forcing,day,sfcWind,Daily-Mean Near-Surface Wind Speed,wind_speed,m s-1,APday/sfcWind,day/sfcWind,TRUE
forcing,day,tas,Near-Surface Air Temperature,air_temperature,K,APday/tas,day/tas,TRUE
forcing,day,tasmax,Daily Maximum Near-Surface Air Temperature,air_temperature,K,APday/tasmax,day/tasmax,TRUE
forcing,day,tasmin,Daily Minimum Near-Surface Air Temperature,air_temperature,K,APday/tasmin,day/tasmin,TRUE
forcing,Eday,ts,Surface Temperature,surface_temperature,K,APday/ts,Eday/ts,FALSE
forcing,day,uas,Eastward Near-Surface Wind,eastward_wind,m s-1,APday/uas,day/uas,TRUE
forcing,day,vas,Northward Near-Surface Wind,northward_wind,m s-1,APday/vas,day/vas,TRUE
forcing,fx,sftlf,Percentage of the Grid Cell Occupied by Land (Including Lakes),land_area_fraction,%,APfx/sftlf,fx/sftlf,FALSE
forcing,Amon,co2,Mole Fraction of CO2,mole_fraction_of_carbon_dioxide_in_air,mol mol-1,APmon/co2,Amon/co2,TRUE
forcing,Emon,co2s,Atmosphere CO2,mole_fraction_of_carbon_dioxide_in_air,0.000001,APmon/co2s,Emon/co2s,FALSE
forcing,Amon,evspsbl,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,kg m-2 s-1,APmon/evspsbl,Amon/evspsbl,TRUE
forcing,Amon,hfls,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,W m-2,APmon/hfls,Amon/hfls,TRUE
forcing,Amon,hfss,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,W m-2,APmon/hfss,Amon/hfss,TRUE
forcing,Amon,huss,Near-Surface Specific Humidity,specific_humidity,1,APmon/huss,Amon/huss,TRUE
forcing,Amon,pr,Precipitation,precipitation_flux,kg m-2 s-1,APmon/pr,Amon/pr,TRUE
forcing,Amon,prsn,Snowfall Flux,snowfall_flux,kg m-2 s-1,APmon/prsn,Amon/prsn,TRUE
forcing,Amon,ps,Surface Air Pressure,surface_air_pressure,Pa,APmon/ps,Amon/ps,TRUE
forcing,Amon,psl,Sea Level Pressure,air_pressure_at_mean_sea_level,Pa,APmon/psl,Amon/psl,TRUE
forcing,Amon,rlds,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,W m-2,APmon/rlds,Amon/rlds,TRUE
forcing,Amon,rlus,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,W m-2,APmon/rlus,Amon/rlus,TRUE
forcing,Amon,rsds,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,W m-2,APmon/rsds,Amon/rsds,TRUE
forcing,Amon,rsus,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,W m-2,APmon/rsus,Amon/rsus,TRUE
forcing,Amon,sfcWind,Near-Surface Wind Speed,wind_speed,m s-1,APmon/sfcWind,Amon/sfcWind,TRUE
forcing,Emon,sfcWindmax,Daily Maximum Near-Surface Wind Speed,wind_speed,m s-1,APmon/sfcWindmax,Emon/sfcWindmax,FALSE
forcing,Amon,tas,Near-Surface Air Temperature,air_temperature,K,APmon/tas,Amon/tas,TRUE
forcing,Amon,ts,Surface Temperature,surface_temperature,K,APmon/ts,Amon/ts,TRUE
esm-diagnostic,day,clt,Total Cloud Cover Percentage,cloud_area_fraction,%,day/clt,APday/clt,TRUE
esm-diagnostic,day,hfls,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,W m-2,day/hfls,APday/hfls,TRUE
esm-diagnostic,day,hfss,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,W m-2,day/hfss,APday/hfss,TRUE
esm-diagnostic,day,hur,Relative Humidity,relative_humidity,%,day/hur,APday/hur,TRUE
esm-diagnostic,day,hus,Specific Humidity,specific_humidity,1,day/hus,APday/hus8,TRUE
esm-diagnostic,day,mrro,Total Runoff,runoff_flux,kg m-2 s-1,day/mrro,LPday/mrro,TRUE
esm-diagnostic,day,psl,Sea Level Pressure,air_pressure_at_mean_sea_level,Pa,day/psl,APday/psl,TRUE
esm-diagnostic,day,rlut,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,W m-2,day/rlut,APday/rlut,TRUE
esm-diagnostic,day,sfcWindmax,Daily Maximum Near-Surface Wind Speed,wind_speed,m s-1,day/sfcWindmax,APday/sfcWindmax,TRUE
esm-diagnostic,day,snc,Snow Area Percentage,surface_snow_area_fraction,%,day/snc,LIday/snc,TRUE
esm-diagnostic,day,ta,Air Temperature,air_temperature,K,day/ta,APday/ta8,TRUE
esm-diagnostic,day,ua,Eastward Wind,eastward_wind,m s-1,day/ua,APday/ua8,TRUE
esm-diagnostic,day,va,Northward Wind,northward_wind,m s-1,day/va,APday/va8,TRUE
esm-diagnostic,day,wap,Omega (=dp/dt),lagrangian_tendency_of_air_pressure,Pa s-1,day/wap,APday/wap8,TRUE
esm-diagnostic,Emon,cropFracC3,Percentage Cover by C3 Crops,area_fraction,%,Emon/cropFracC3,LPmon/cropFracC3,TRUE
esm-diagnostic,Emon,cropFracC4,Percentage Cover by C4 Crops,area_fraction,%,Emon/cropFracC4,LPmon/cropFracC4,TRUE
esm-diagnostic,Emon,fracLut,Percentage of Grid Cell for Each Land-Use Tile,area_fraction,%,Emon/fracLut,LPmon/fracLut,TRUE
esm-diagnostic,Emon,grassFracC3,C3 Natural Grass Area Percentage,area_fraction,%,Emon/grassFracC3,LPmon/grassFracC3,TRUE
esm-diagnostic,Emon,grassFracC4,C4 Natural Grass Area Percentage,area_fraction,%,Emon/grassFracC4,LPmon/grassFracC4,TRUE
esm-diagnostic,Emon,treeFracBdlDcd,Broadleaf Deciduous Tree Area Percentage,area_fraction,%,Emon/treeFracBdlDcd,LPmon/treeFracBdlDcd,TRUE
esm-diagnostic,Emon,treeFracBdlEvg,Broadleaf Evergreen Tree Area Percentage,area_fraction,%,Emon/treeFracBdlEvg,LPmon/treeFracBdlEvg,TRUE
esm-diagnostic,Emon,treeFracNdlDcd,Needleleaf Deciduous Tree Area Percentage,area_fraction,%,Emon/treeFracNdlDcd,LPmon/treeFracNdlDcd,TRUE
esm-diagnostic,Emon,treeFracNdlEvg,Needleleaf Evergreen Tree Area Percentage,area_fraction,%,Emon/treeFracNdlEvg,LPmon/treeFracNdlEvg,TRUE
esm-diagnostic,Emon,vegFrac,Total Vegetated Percentage Cover,area_fraction,%,Emon/vegFrac,LPmon/vegFrac,TRUE
forcing,IfxGre,hfgeoubed,Geothermal Heat Flux Beneath Land Ice,upward_geothermal_heat_flux_at_ground_level_in_land_ice,W m-2,GIGfx/hfgeoubed,IfxGre/hfgeoubed,FALSE
forcing,IfxGre,lithk,Ice Sheet Thickness,land_ice_thickness,m,GIGfx/lithk,IfxGre/lithk,FALSE
forcing,IfxGre,topg,Bedrock Altitude,bedrock_altitude,m,GIGfx/topg,IfxGre/topg,FALSE
forcing,ImonGre,hfls,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,W m-2,GIGmon/hfls,ImonGre/hfls,FALSE
forcing,ImonGre,prra,Rainfall Flux over Land Ice,rainfall_flux,kg m-2 s-1,GIGmon/prra,ImonGre/prra,FALSE
forcing,ImonGre,prsn,Snowfall Flux,snowfall_flux,kg m-2 s-1,GIGmon/prsn,ImonGre/prsn,FALSE
forcing,ImonGre,snicem,Surface Snow and Ice Melt Flux,surface_snow_and_ice_melt_flux,kg m-2 s-1,GIGmon/snicem,ImonGre/snicem,FALSE
forcing,day,snw,Surface Snow Amount,surface_snow_amount,kg m-2,LIday/snw,day/snw,TRUE
forcing,LImon,acabfIs,Ice Sheet Surface Mass Balance Flux,land_ice_surface_specific_mass_balance_flux,kg m-2 s-1,LImon/acabfIs,LImon/acabfIs,FALSE
forcing,LImon,hflsIs,Ice Sheet Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,W m-2,LImon/hflsIs,LImon/hflsIs,FALSE
forcing,LImon,hfssIs,Ice Sheet Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,W m-2,LImon/hfssIs,LImon/hfssIs,FALSE
forcing,LImon,orogIs,Ice Sheet Surface Altitude,surface_altitude,m,LImon/orogIs,LImon/orogIs,FALSE
forcing,LImon,rldsIs,Ice Sheet Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,W m-2,LImon/rldsIs,LImon/rldsIs,FALSE
forcing,LImon,rlusIs,Ice Sheet Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,W m-2,LImon/rlusIs,LImon/rlusIs,FALSE
forcing,LImon,rsdsIs,Ice Sheet Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,W m-2,LImon/rsdsIs,LImon/rsdsIs,FALSE
forcing,LImon,rsusIs,Ice Sheet Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,W m-2,LImon/rsusIs,LImon/rsusIs,FALSE
forcing,LImon,sbl,Surface Snow and Ice Sublimation Flux,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,kg m-2 s-1,LImon/sbl,LImon/sbl,TRUE
forcing,Amon,sbl,Surface Snow and Ice Sublimation Flux,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,kg m-2 s-1,LImon/sbl,Amon/sbl,TRUE
forcing,LImon,sftflf,Floating Ice Shelf Area Percentage,floating_ice_shelf_area_fraction,%,LImon/sftflf,LImon/sftflf,TRUE
forcing,LImon,sftgrf,Grounded Ice Sheet Area Percentage,grounded_ice_sheet_area_fraction,%,LImon/sftgrf,LImon/sftgrf,TRUE
forcing,LImon,snc,Snow Area Percentage,surface_snow_area_fraction,%,LImon/snc,LImon/snc,TRUE
forcing,LImon,snd,Snow Depth,surface_snow_thickness,m,LImon/snd,LImon/snd,TRUE
esm-diagnostic,LImon,snm,Surface Snow Melt,surface_snow_melt_flux,kg m-2 s-1,LImon/snm,LImon/snm,TRUE
forcing,LImon,snw,Surface Snow Amount,surface_snow_amount,kg m-2,LImon/snw,LImon/snw,TRUE
forcing,LImon,tsn,Snow Internal Temperature,temperature_in_surface_snow,K,LImon/tsn,LImon/tsn,TRUE
esm-diagnostic,Lmon,cropFrac,Percentage Crop Cover,area_fraction,%,Lmon/cropFrac,LPmon/cropFrac,TRUE
esm-diagnostic,Lmon,grassFrac,Natural Grass Area Percentage,area_fraction,%,Lmon/grassFrac,LPmon/grassFrac,TRUE
esm-diagnostic,Lmon,mrfso,Soil Frozen Water Content,soil_frozen_water_content,kg m-2,Lmon/mrfso,LPmon/mrfso,TRUE
esm-diagnostic,Lmon,mrsos,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,kg m-2,Lmon/mrsos,LPmon/mrsos,TRUE
esm-diagnostic,Lmon,pastureFrac,Percentage of Land Which Is Anthropogenic Pasture,area_fraction,%,Lmon/pastureFrac,LPmon/pastureFrac,TRUE
esm-diagnostic,Lmon,residualFrac,Percentage of Grid Cell That Is Land but neither Vegetation Covered nor Bare Soil,area_fraction,%,Lmon/residualFrac,LPmon/residualFrac,TRUE
esm-diagnostic,Lmon,shrubFrac,Percentage Cover by Shrub,area_fraction,%,Lmon/shrubFrac,LPmon/shrubFrac,TRUE
esm-diagnostic,Lmon,treeFrac,Tree Cover Percentage,area_fraction,%,Lmon/treeFrac,LPmon/treeFrac,TRUE
forcing,Eday,albsn,Snow Albedo,surface_albedo,1,LPday/alsbn,Eday/albsn,FALSE
forcing,Eday,mrrob,Subsurface Runoff,subsurface_runoff_flux,kg m-2 s-1,LPday/mrrob,Eday/mrrob,FALSE
forcing,day,mrso,Total Soil Moisture Content,mass_content_of_water_in_soil,kg m-2,LPday/mrso,day/mrso,TRUE
forcing,day,mrsos,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,kg m-2,LPday/mrsos,day/mrsos,TRUE
forcing,Efx,fldcapacity,Field Capacity,volume_fraction_of_condensed_water_in_soil_at_field_capacity,%,LPfx/fldcapacity,Efx/fldcapacity,FALSE
forcing,fx,mrsofc,Capacity of Soil to Store Water (Field Capacity),soil_moisture_content_at_field_capacity,kg m-2,LPfx/mrsofc,fx/mrsofc,FALSE
forcing,fx,rootd,Maximum Root Depth,root_depth,m,LPfx/rootd,fx/rootd,FALSE
forcing,Efx,slthick,Thickness of Soil Layers,cell_thickness,m,LPfx/slthick,Efx/slthick,FALSE
forcing,Efx,wilt,Wilting Point,volume_fraction_of_condensed_water_in_soil_at_wilting_point,%,LPfx/wilt,Efx/wilt,FALSE
forcing,Lmon,baresoilFrac,Bare Soil Percentage Area Coverage,area_fraction,%,LPmon/baresoilFrac,Lmon/baresoilFrac,TRUE
forcing,Lmon,burntFractionAll,Percentage of Entire Grid Cell That Is Covered by Burnt Vegetation (All Classes),area_fraction,%,LPmon/burntFractionAll,Lmon/burntFractionAll,TRUE
forcing,Lmon,c3PftFrac,Percentage Cover by C3 Plant Functional Type,area_fraction,%,LPmon/c3PftFrac,Lmon/c3PftFrac,TRUE
forcing,Lmon,c4PftFrac,Percentage Cover by C4 Plant Functional Type,area_fraction,%,LPmon/c4PftFrac,Lmon/c4PftFrac,TRUE
forcing,Emon,cLand,Total Carbon in All Terrestrial Carbon Pools,mass_content_of_carbon_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,kg m-2,LPmon/cLand,Emon/cLand,FALSE
forcing,Lmon,cLeaf,Carbon Mass in Leaves,leaf_mass_content_of_carbon,kg m-2,LPmon/cLeaf,Lmon/cLeaf,FALSE
forcing,Lmon,cLitter,Carbon Mass in Litter Pool,litter_mass_content_of_carbon,kg m-2,LPmon/cLitter,Lmon/cLitter,TRUE
forcing,Lmon,cProduct,Carbon Mass in Products of Land-Use Change,carbon_mass_content_of_forestry_and_agricultural_products,kg m-2,LPmon/cProduct,Lmon/cProduct,TRUE
forcing,Lmon,cRoot,Carbon Mass in Roots,root_mass_content_of_carbon,kg m-2,LPmon/cRoot,Lmon/cRoot,FALSE
forcing,Lmon,cropFrac,Percentage Crop Cover,area_fraction,%,LPmon/cropFrac,Lmon/cropFrac,TRUE
forcing,Emon,cSoil,Carbon Mass in Model Soil Pool,soil_mass_content_of_carbon,kg m-2,LPmon/cSoil,Emon/cSoil,TRUE
forcing,Emon,cSoilLevels,Carbon Mass in Each Model Soil Level (Summed over All Soil Carbon Pools in That Level),soil_mass_content_of_carbon,kg m-2,LPmon/cSoilLevels,Emon/cSoilLevels,FALSE
forcing,Lmon,cVeg,Carbon Mass in Vegetation,vegetation_carbon_content,kg m-2,LPmon/cVeg,Lmon/cVeg,TRUE
forcing,Emon,cWood,Carbon Mass in Wood,stem_mass_content_of_carbon,kg m-2,LPmon/cWood,Emon/cWood,FALSE
forcing,Emon,evspsblpot,Potential Evapotranspiration,water_potential_evaporation_flux,kg m-2 s-1,LPmon/evspsblpot,Emon/evspsblpot,FALSE
forcing,Lmon,evspsblsoi,Water Evaporation from Soil,water_evaporation_flux_from_soil,kg m-2 s-1,LPmon/evspsblsoi,Lmon/evspsblsoi,TRUE
forcing,Lmon,evspsblveg,Evaporation from Canopy,water_evaporation_flux_from_canopy,kg m-2 s-1,LPmon/evspsblveg,Lmon/evspsblveg,TRUE
forcing,Emon,fAnthDisturb,"Carbon Mass Flux from Vegetation, Litter or Soil Pools into the Atmosphere Due to any Human Activity [kgC m-2 s-1]",tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_emission,kg m-2 s-1,LPmon/fAnthDisturb,Emon/fAnthDisturb,FALSE
forcing,Emon,fDeforestToAtmos,Deforested Biomass That Goes into Atmosphere as a Result of Anthropogenic Land-Use Change [kgC m-2 s-1],surface_net_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_anthropogenic_land_use_change,kg m-2 s-1,LPmon/fDeforestToAtmos,Emon/fDeforestToAtmos,FALSE
forcing,Emon,fDeforestToProduct,Deforested Biomass That Goes into Product Pool as a Result of Anthropogenic Land-Use Change,carbon_mass_flux_into_forestry_and_agricultural_products_due_to_anthropogenic_land_use_or_land_cover_change,kg m-2 s-1,LPmon/fDeforestToProduct,Emon/fDeforestToProduct,FALSE
forcing,Lmon,fFire,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Excluding Land-Use Change [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fires_excluding_anthropogenic_land_use_change,kg m-2 s-1,LPmon/fFire,Lmon/fFire,TRUE
forcing,Emon,fFireAll,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Including All Sources [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fires,kg m-2 s-1,LPmon/fFireAll,Emon/fFireAll,FALSE
forcing,Emon,fFireNat,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Natural Fire [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_natural_fires,kg m-2 s-1,LPmon/fFireNat,Emon/fFireNat,FALSE
forcing,Lmon,fLitterSoil,Total Carbon Mass Flux from Litter to Soil,carbon_mass_flux_into_soil_from_litter,kg m-2 s-1,LPmon/fLitterSoil,Lmon/fLitterSoil,TRUE
forcing,Emon,fLuc,Net Carbon Mass Flux into Atmosphere Due to Land-Use Change [kgC m-2 s-1],surface_net_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_anthropogenic_land_use_change,kg m-2 s-1,LPmon/fLuc,Emon/fLuc,TRUE
forcing,Emon,fNdep,Dry and Wet Deposition of Reactive Nitrogen onto Land,minus_tendency_of_atmosphere_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_deposition,kg m-2 s-1,LPmon/fNdep,Emon/fNdep,FALSE
forcing,Lmon,fVegLitter,Total Carbon Mass Flux from Vegetation to Litter,mass_flux_of_carbon_into_litter_from_vegetation,kg m-2 s-1,LPmon/fVegLitter,Lmon/fVegLitter,TRUE
forcing,Lmon,gpp,Carbon Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],gross_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,LPmon/gpp,Lmon/gpp,TRUE
forcing,Lmon,grassFrac,Natural Grass Area Percentage,area_fraction,%,LPmon/grassFrac,Lmon/grassFrac,TRUE
forcing,Lmon,lai,Leaf Area Index,leaf_area_index,1,LPmon/lai,Lmon/lai,TRUE
forcing,Lmon,landCoverFrac,Percentage of Area by Vegetation or Land-Cover Category,area_fraction,%,LPmon/landCoverFrac,Lmon/landCoverFrac,FALSE
forcing,Lmon,mrro,Total Runoff,runoff_flux,kg m-2 s-1,LPmon/mrro,Lmon/mrro,TRUE
forcing,Lmon,mrros,Surface Runoff,surface_runoff_flux,kg m-2 s-1,LPmon/mrros,Lmon/mrros,TRUE
forcing,Emon,mrsfl,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,kg m-2,LPmon/mrsfl,Emon/mrsfl,FALSE
forcing,Emon,mrsll,Liquid Water Content of Soil Layer,liquid_water_content_of_soil_layer,kg m-2,LPmon/mrsll,Emon/mrsll,FALSE
forcing,Lmon,mrso,Total Soil Moisture Content,mass_content_of_water_in_soil,kg m-2,LPmon/mrso,Lmon/mrso,TRUE
forcing,Emon,mrsol,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,kg m-2,LPmon/mrsol,Emon/mrsol,TRUE
forcing,Lmon,nbp,Carbon Mass Flux out of Atmosphere Due to Net Biospheric Production on Land [kgC m-2 s-1],surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,kg m-2 s-1,LPmon/nbp,Lmon/nbp,TRUE
forcing,Emon,nep,Net Carbon Mass Flux out of Atmosphere Due to Net Ecosystem Productivity on Land [kgC m-2 s-1],surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes_excluding_anthropogenic_land_use_change,kg m-2 s-1,LPmon/nep,Emon/nep,TRUE
forcing,Emon,netAtmosLandCO2Flux,Net Flux of CO2 Between Atmosphere and Land (Positive into Land) as a Result of All Processes [kgC m-2 s-1],surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,kg m-2 s-1,LPmon/netAtmosLandCO2Flux,Emon/netAtmosLandCO2Flux,FALSE
forcing,Lmon,npp,Net Primary Production on Land as Carbon Mass Flux [kgC m-2 s-1],net_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,LPmon/npp,Lmon/npp,TRUE
forcing,Emon,nwdFracLut,Non-Woody Vegetation Percentage Cover,area_fraction,%,LPmon/nwdFracLut,Emon/nwdFracLut,TRUE
forcing,Emon,orog,Surface Altitude,surface_altitude,m,LPmon/ororg,Emon/orog,TRUE
forcing,Lmon,pastureFrac,Percentage of Land Which Is Anthropogenic Pasture,area_fraction,%,LPmon/pastureFrac,Lmon/pastureFrac,TRUE
